,eolica,nuclear,carbon,ciclo_combinado,hidraulica,solar_fotovoltaica,solar_termica,cogeneracion,exportacion_andorra,exportacion_marruecos,exportacion_portugal,exportacion_francia,importacion_francia,importacion_portugal,importacion_marruecos,importacion_andorra,target
1182,4778.2035122,7125.94475,374.7025417,4833.5911473,5433.81175,7174.1656124,881.880935,2175.7584942,-45.07625,-290.358,-1944.2464583,-1064.165875,605.46875,221.2201667,29.493,0.0,105.92958333333333
1183,1353.1964456,7127.94375,380.5219167,5720.162311,6039.2769167,5351.1042911,635.7334701,2219.4936389,-46.1875,-194.265,-1187.8814583,-84.3221667,1910.3156667,496.4265417,31.626,0.0,120.39333333333332
1184,6958.1890744,7127.466625,279.4764167,3930.0432929,5721.8177409,4318.8401993,109.4483128,2229.1558171,-45.7220833,-177.939,-1277.2794167,-1193.530125,504.7001667,765.187125,19.386,0.0,110.77875
1185,13017.3357404,7109.872625,197.2150417,2313.2260843,3589.8064583,3095.1030695,149.9521712,1732.3781689,-41.9654167,-418.194,-1224.3275417,-2540.8889167,211.8080417,515.524625,7.848,0.0,64.02583333333332
1186,11559.0566578,7123.6057083,219.66525,2994.075196,3296.0910833,2087.8744751,42.397825,1704.0964768,-40.7045833,-262.773,-1025.1710833,-2151.564875,725.824125,610.470375,20.151,0.0,66.26125
1187,10181.7647083,7131.9568333,280.8155833,3928.2704913,5300.70575,2796.2012721,103.5191635,2076.5504122,-23.1820833,-341.361,-706.0227083,-2057.741875,575.0079583,638.04675,11.691,0.0008333,97.87833333333332
1188,10146.44925,7131.160375,219.4017917,3370.9733717,5234.8253333,4035.4688667,75.3951333,2110.5344544,-19.5204167,-487.233,-996.4192083,-1600.747625,254.8497917,654.1513333,0.0,0.0,95.85583333333334
1189,10786.8284167,7134.1356667,236.966875,3497.3687223,5469.6947115,2954.3765222,14.3976806,2057.9361624,-19.08625,-250.65,-1637.8755,-726.11625,691.7902083,285.6427917,10.908,0.0,77.83666666666666
1190,10253.8570614,7133.6587917,380.3569583,3534.3445841,5093.2079167,4081.662996,386.8114616,2078.313875,-19.11375,-162.252,-2250.1412917,-350.0957917,920.84575,231.7802917,28.692,0.0,78.74333333333333
1191,11952.9070344,6816.7459167,377.7009167,2249.6147388,4506.5898958,3143.3318653,75.5183833,1802.6212476,-19.0908333,-438.57,-1054.650875,-352.0987083,672.5279583,905.4982083,1.944,0.0,47.07125
1192,14457.0540618,6714.9764583,197.86075,1562.3077836,2952.78675,2744.6069914,22.2390444,1227.3478364,-17.5970833,-352.971,-1108.4070833,-806.7911667,158.4935833,466.8477917,7.299,0.0,15.487083333333333
1193,7212.5254583,6932.7415417,192.528,3460.3456133,3995.366,4819.4453365,91.4347904,1488.8458999,-16.77125,-48.888,-932.4128333,-1812.2289583,91.1929583,1013.8649167,44.199,0.0,48.595
1194,5707.4796775,7122.964625,192.4727917,4063.336134,6187.0676964,4269.8585975,89.793016,2033.8217317,-19.4629167,-105.048,-337.9708333,-1454.88125,145.2603333,1625.10875,130.581,0.0,88.36041666666667
1195,7576.915258,7131.2964167,192.3842917,4216.0749423,6322.6748283,4792.8119343,225.7171217,2167.4604167,-20.5879167,-80.964,-975.37875,-2265.387125,350.1725833,811.7799583,106.668,0.0,96.69291666666668
1196,8176.6395579,7105.7251667,194.737625,4557.622691,6429.3650833,4471.0702624,46.9968452,2137.1462171,-19.53375,-67.158,-1393.4032083,-2139.2400833,238.0323333,515.4425417,67.599,0.0,94.04708333333332
1197,7550.9169402,7139.5379167,188.049625,4617.7299385,7218.0333125,3177.7850816,0.00875,2201.1869167,-40.7716667,-30.51,-689.98325,-2514.09675,402.38275,915.921875,214.632,0.0,109.27583333333332
1198,8832.8455924,7138.2332917,200.2437083,3888.9404296,6777.4534306,5322.3549249,239.017,1829.7250908,-38.5029167,-136.305,-750.9819583,-2383.900625,227.1986667,924.8876667,55.665,0.0,59.0375
1199,5971.9682788,7135.1335,196.879,3228.5570762,6373.8720833,6362.3775275,785.3554296,1627.0425336,-42.5045833,-458.163,-1437.2620833,-2122.5750833,70.4854167,551.2942083,4.743,0.0,48.91833333333333
1200,3994.1369371,7136.173375,196.1134167,3605.5939265,6339.320125,5124.3943027,378.3717686,1663.6571794,-43.5283333,-113.544,-888.2705,-2009.203125,121.0526667,1093.4679583,50.031,0.0,60.60083333333333
1201,5919.5385243,7135.2190417,201.7969167,4394.0854783,7010.4815833,3473.6316101,98.1825173,2017.1549343,-26.4816667,-57.906,-524.4327083,-1472.3620417,513.863375,1374.4152917,46.503,0.0,83.52416666666666
