,eolica,nuclear,carbon,ciclo_combinado,hidraulica,solar_fotovoltaica,solar_termica,cogeneracion,exportacion_andorra,exportacion_marruecos,exportacion_portugal,exportacion_francia,importacion_francia,importacion_portugal,importacion_marruecos,importacion_andorra,target
count,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0
mean,6812.903852922422,6113.733018351142,495.7479796649135,4924.4423786395155,3170.328172631211,5032.71513467128,683.2484176324567,1963.6657663087196,-28.794153986447636,-296.3844322033539,-1510.1809117086927,-1094.695978952909,824.7254636180013,412.3385229436002,43.9773932036961,0.0018058411362080768,102.63734827743555
std,3593.66929522584,1040.7118789082338,341.70235403468195,2947.4297856674407,1640.72118521681,2267.831771089308,400.36135888076666,569.1142017316726,17.03915591529339,211.53496787460784,670.2944420383714,870.1931813150652,783.1232541844197,470.4155348159352,56.752584558234695,0.010497783926693592,66.06133277816357
min,734.0443382,6.7655804,0.001,713.5691667,531.9940152,0.733,0.0062857,728.8063545,-68.8258333,-892.629,-3374.0207917,-3304.4320833,0.0,0.0,0.0,0.0,0.0666666666666666
25%,4043.2600265,5252.2225833,266.2384167,2782.2805833,1870.1077202,3266.3910909,345.6857382,1552.8147655,-42.86125,-442.134,-1999.353125,-1827.8450417,154.56175,76.2569583,4.851,0.0,56.20458333333334
50%,6116.8140858,6281.6519167,354.8978333,4037.8090758,2840.1071667,4937.3007368,707.3031842,1952.8730504,-27.005,-265.8333333,-1526.9302083,-992.0875833,589.0710833,219.948125,19.825,0.0,94.855
75%,8958.6475627,6958.1250417,673.1497917,6454.8404583,4204.5199583,6673.0575634,1044.8813552,2320.8253452,-16.2608333,-115.533,-1021.1680417,-252.655,1363.0305,591.4605,64.1333333,0.0,135.18
max,18342.4362917,7139.5379167,1765.0099583,15379.6907917,8147.603625,11009.5501987,1539.4526387,3304.7756538,0.0,0.0,-33.3283333,0.0,3237.6382083,3037.9759167,514.9458333,0.2604167,545.2504166666666
